Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,High_Range,Price_Segment,Range_per_kWh,Price_per_km,Efficiency_Tier,Est_Revenue_2024,Era
Genesis,GV70 Electric,2020,Sodium-Ion,136.3,589,Battery Swapping,10.6,41154.16,Platinum,Mexico,3,0.0,4.0,15671,4,1,Budget (<$50K),4.321,69.87,High,644926841.36,Mid (2019-2021)
Genesis,GV70 Electric,2016,Nickel-Metal Hydride,110.5,130,Nacs,1.7,139347.21,Aurora Blue,Singapore,1,0.0,5.0,944,5,0,Luxury (>$110K),1.176,1071.9,Low,131543766.24,Early (2015-2018)
Renault,5 E-Tech,2022,Aluminum-Ion,83.5,554,Vehicle-To-Grid (V2G),5.6,37600.33,Ruby Red,Hungary,3,0.0,5.0,18895,5,1,Budget (<$50K),6.635,67.87,High,710458235.35,Recent (2022-2025)
Ferrari,SF90 Stradale (PHEV),2025,Calcium-Ion,64.0,367,Ccs,5.5,117198.24,Aurora Blue,Brazil,5,0.0,5.0,1788,3,0,Luxury (>$110K),5.734,319.34,High,209550453.12,Recent (2022-2025)
Genesis,GV70 Electric,2023,Calcium-Ion,81.0,353,Nacs,1.4,88997.76,Forest Green,Mexico,0,0.0,4.0,13214,3,0,Premium ($80K–$110K),4.358,252.12,High,1176016400.6399999,Recent (2022-2025)
Hyundai,Ioniq 7 (upcoming),2022,Magnesium-Ion,94.5,145,Vehicle-To-Load (V2L),5.6,44244.82,Champagne,Germany,3,0.0,3.0,2978,5,0,Budget (<$50K),1.534,305.14,Low,131761073.96,Recent (2022-2025)
Gmc,Hummer EV SUV,2023,Lead-Acid,46.9,443,Vehicle-To-Home (V2H),11.4,73601.1,Blue,Austria,2,0.0,4.0,11904,5,1,Mid ($50K–$80K),9.446,166.14,Top,876147494.4000001,Recent (2022-2025)
Geely,Geometry A,2016,Magnesium-Ion,105.7,101,Mobile Charging,4.6,106039.34,Cobalt Blue,Czech Republic,2,0.0,4.0,5379,4,0,Premium ($80K–$110K),0.956,1049.89,Low,570385609.86,Early (2015-2018)
Volkswagen,ID.2all,2021,Solid-State,53.1,200,Inductive (Wireless) Charging,1.9,132263.32,Electric Blue,Australia,1,0.0,4.0,1523,5,0,Luxury (>$110K),3.766,661.32,Medium,201437036.36,Mid (2019-2021)
Skoda,Elroq (upcoming),2016,Magnesium-Ion,135.9,334,Chademo,11.6,30520.52,Racing Red,South Korea,3,0.0,5.0,5806,5,0,Budget (<$50K),2.458,91.38,Low,177202139.12,Early (2015-2018)
Jeep,Grand Cherokee 4xe (PHEV),2017,Solid-State,70.4,407,Mobile Charging,6.3,76159.52,Gun Metal,Belgium,2,0.0,3.0,4527,4,1,Mid ($50K–$80K),5.781,187.12,High,344774147.04,Early (2015-2018)
Cadillac,Optiq (upcoming),2023,Lithium-Sulfur,129.6,380,Mobile Charging,8.7,142261.45,Emerald Green,Switzerland,4,0.0,5.0,4347,5,0,Luxury (>$110K),2.932,374.37,Medium,618410523.1500001,Recent (2022-2025)
Genesis,GV70 Electric,2023,Lead-Acid,110.3,265,Ccs,9.2,97473.63,Matte Blue,Singapore,5,0.0,5.0,9369,4,0,Premium ($80K–$110K),2.403,367.83,Low,913230439.47,Recent (2022-2025)
Faraday Future,FF 91,2023,Solid-State,23.3,174,Level 2 Charging,8.2,53988.29,Stealth Gray,Netherlands,5,0.0,5.0,9671,3,0,Mid ($50K–$80K),7.468,310.28,Top,522120752.59000003,Recent (2022-2025)
Citroen,Ami,2015,Sodium-Ion,125.8,152,Ultra-Fast Charging (350 Kw+),9.0,97352.47,Forest Green,Turkey,5,0.0,4.0,12699,4,0,Premium ($80K–$110K),1.208,640.48,Low,1236279016.53,Early (2015-2018)
Vinfast,VF 8,2023,Lithium-Ion,21.7,228,Inductive (Wireless) Charging,7.6,123710.99,Candy Apple Red,Austria,5,0.0,5.0,17911,5,0,Luxury (>$110K),10.507,542.59,Top,2215787541.89,Recent (2022-2025)
Cadillac,Lyriq,2018,Lithium-Sulfur,78.3,449,Dc Fast Charging (Dcfc),2.7,50855.42,Graphite Gray,Canada,3,0.0,3.0,19136,4,1,Mid ($50K–$80K),5.734,113.26,High,973169317.12,Early (2015-2018)
Tesla,Model X,2022,Lithium-Titanate,141.9,120,Chademo,11.2,101625.64,Navy Blue,Finland,2,0.0,4.0,2388,5,0,Premium ($80K–$110K),0.846,846.88,Low,242682028.32,Recent (2022-2025)
Rimac,Nevera,2017,Lead-Acid,28.9,358,Nacs,5.3,94444.31,Green,Brazil,1,0.0,4.0,7158,5,0,Premium ($80K–$110K),12.388,263.81,Top,676032370.98,Early (2015-2018)
Lotus,Emeya,2023,Calcium-Ion,117.8,432,Level 1 Charging,1.8,71520.87,Forest Green,Finland,1,0.0,4.0,12496,3,1,Mid ($50K–$80K),3.667,165.56,Medium,893724791.52,Recent (2022-2025)
Nio,ES7,2023,Lithium-Titanate,56.8,566,Overhead Pantograph Charging,6.4,91048.27,Champagne,Japan,5,0.0,3.0,5485,5,1,Premium ($80K–$110K),9.965,160.86,Top,499399760.95000005,Recent (2022-2025)
Maserati,Grecale Folgore,2025,Solid-State,47.4,422,Inductive (Wireless) Charging,10.4,80905.13,Yellow,Switzerland,5,0.0,4.0,2363,5,1,Premium ($80K–$110K),8.903,191.72,Top,191178822.19,Recent (2022-2025)
Skoda,Enyaq,2015,Nickel-Manganese-Cobalt,113.2,119,Dc Fast Charging (Dcfc),1.3,51359.06,Gold,United Arab Emirates,3,0.0,4.0,12715,4,0,Mid ($50K–$80K),1.051,431.59,Low,653030447.9,Early (2015-2018)
Acura,ZDX (with GM Ultium),2021,Sodium-Ion,22.2,444,Ccs,6.7,106970.73,Sapphire Blue,China,4,0.0,4.0,16476,3,1,Premium ($80K–$110K),20.0,240.93,Top,1762449747.48,Mid (2019-2021)
Mazda,Mazda EV (upcoming models),2024,Solid-State,56.6,574,Vehicle-To-Home (V2H),4.9,128654.68,Black,New Zealand,1,0.0,5.0,9665,5,1,Luxury (>$110K),10.141,224.14,Top,1243447482.2,Recent (2022-2025)
Ford,E-Transit,2025,Aluminum-Ion,138.8,507,Overhead Pantograph Charging,11.5,31338.02,Matte Gray,Sweden,3,0.0,5.0,17941,3,1,Budget (<$50K),3.653,61.81,Medium,562235416.82,Recent (2022-2025)
Subaru,Solterra,2020,Lithium-Iron Phosphate,73.6,430,Chademo,2.4,56494.56,Titanium,Spain,1,0.0,3.0,17984,4,1,Mid ($50K–$80K),5.842,131.38,High,1015998167.04,Mid (2019-2021)
Genesis,GV60,2019,Flow Batteries,28.8,150,Inductive (Wireless) Charging,8.8,88462.85,Pink,Brazil,3,0.0,5.0,2287,3,0,Premium ($80K–$110K),5.208,589.75,High,202314537.95000002,Mid (2019-2021)
Rimac,Nevera,2022,Sodium-Ion,100.1,256,Chademo,7.0,73739.21,Purple,Vietnam,2,0.0,5.0,14290,4,0,Mid ($50K–$80K),2.557,288.04,Low,1053733310.9000001,Recent (2022-2025)
Byd,Tang EV,2025,Lithium-Titanate,63.1,345,Vehicle-To-Home (V2H),5.6,122972.04,Champagne,United Arab Emirates,3,0.0,4.0,9195,3,0,Luxury (>$110K),5.468,356.44,High,1130727907.8,Recent (2022-2025)
Maserati,Grecale Folgore,2019,Lithium-Titanate,135.2,139,Dc Fast Charging (Dcfc),10.8,131950.47,Emerald Green,Germany,4,0.0,3.0,18074,4,0,Luxury (>$110K),1.028,949.28,Low,2384872794.78,Mid (2019-2021)
Maserati,GranTurismo Folgore,2025,Magnesium-Ion,39.3,300,Ultra-Fast Charging (350 Kw+),10.8,100752.09,Rose Gold,Czech Republic,3,0.0,4.0,11923,5,0,Premium ($80K–$110K),7.634,335.84,Top,1201267169.07,Recent (2022-2025)
Tesla,Roadster (upcoming),2018,Calcium-Ion,145.3,414,Nacs,9.2,46844.48,Pearl White,Norway,4,0.0,5.0,15843,4,1,Budget (<$50K),2.849,113.15,Medium,742157096.6400001,Early (2015-2018)
Chevrolet,Bolt EUV,2022,Lithium-Iron Phosphate,28.2,289,Ultra-Fast Charging (350 Kw+),1.0,54812.89,Burgundy,Argentina,3,0.0,4.0,10619,3,0,Mid ($50K–$80K),10.248,189.66,Top,582058078.91,Recent (2022-2025)
Dacia,Bigster EV (upcoming),2019,Zinc-Air,90.8,189,Plug-In Hydrogen Refueling,8.0,73835.61,Ruby Red,China,3,0.0,4.0,11563,4,0,Mid ($50K–$80K),2.081,390.66,Low,853761158.43,Mid (2019-2021)
Mahindra,Born Electric (upcoming range),2024,Lithium-Ion,85.2,171,Vehicle-To-Home (V2H),2.4,39250.59,Ruby Red,Portugal,1,0.0,3.0,7547,4,0,Budget (<$50K),2.007,229.54,Low,296224202.72999996,Recent (2022-2025)
Faraday Future,FF 91,2016,Nickel-Manganese-Cobalt,107.8,345,Inductive (Wireless) Charging,7.3,107671.11,Tan,Germany,1,0.0,5.0,16798,3,0,Premium ($80K–$110K),3.2,312.09,Medium,1808659305.78,Early (2015-2018)
Ferrari,SF90 Stradale (PHEV),2015,Nickel-Metal Hydride,53.6,192,Plug-In Hydrogen Refueling,7.4,97632.56,Black,Czech Republic,1,0.0,4.0,5589,3,0,Premium ($80K–$110K),3.582,508.5,Medium,545668377.84,Early (2015-2018)
Li Auto,L8,2024,Calcium-Ion,119.8,419,Battery Swapping,2.4,112270.94,Sunset Orange,Ireland,1,0.0,3.0,6630,5,1,Luxury (>$110K),3.497,267.95,Medium,744356332.2,Recent (2022-2025)
Mg,MG ES5,2017,Zinc-Air,32.5,343,Level 2 Charging,10.6,93771.59,Stealth Gray,Canada,3,0.0,5.0,39,5,0,Premium ($80K–$110K),10.554,273.39,Top,3657092.01,Early (2015-2018)
Genesis,G80 Electric,2023,Nickel-Cobalt-Aluminum,68.1,122,Vehicle-To-Grid (V2G),3.1,126276.02,Burgundy,India,5,0.0,5.0,3201,4,0,Luxury (>$110K),1.791,1035.05,Low,404209540.02000004,Recent (2022-2025)
Volkswagen,ID.5,2022,Magnesium-Ion,50.2,539,Dc Fast Charging (Dcfc),3.8,135211.96,Tan,Spain,5,0.0,4.0,17122,3,1,Luxury (>$110K),10.737,250.86,Top,2315099179.12,Recent (2022-2025)
Lotus,Eletre,2021,Flow Batteries,46.7,511,Mobile Charging,5.2,42789.99,Brown,Israel,4,0.0,4.0,13023,3,1,Budget (<$50K),10.942,83.74,Top,557254039.77,Mid (2019-2021)
Li Auto,MEGA,2017,Sodium-Ion,92.7,347,Battery Swapping,11.9,99318.14,Navy Blue,Thailand,5,0.0,5.0,5301,3,0,Premium ($80K–$110K),3.743,286.22,Medium,526485460.14,Early (2015-2018)
Rivian,EDV (Electric Delivery Van),2021,Magnesium-Ion,64.0,381,Level 2 Charging,2.3,145748.43,White,Uk,3,0.0,3.0,8620,3,0,Luxury (>$110K),5.953,382.54,High,1256351466.6,Mid (2019-2021)
Byd,Han EV,2024,Lithium-Ion,114.2,576,Plug-In Hydrogen Refueling,7.6,92520.67,Cosmic Purple,Ireland,3,0.0,4.0,14384,3,1,Premium ($80K–$110K),5.044,160.63,High,1330817317.28,Recent (2022-2025)
Lucid Motors,Lucid DreamDrive,2023,Lithium-Sulfur,45.3,501,Ultra-Fast Charging (350 Kw+),7.6,110882.93,Turquoise,Belgium,1,0.0,4.0,11571,5,1,Luxury (>$110K),11.06,221.32,Top,1283026383.03,Recent (2022-2025)
Xpeng,P5,2024,Lithium-Iron Phosphate,87.3,477,Dc Fast Charging (Dcfc),11.1,95951.12,Volcanic Yellow,United Arab Emirates,2,0.0,3.0,19869,3,1,Premium ($80K–$110K),5.464,201.16,High,1906452803.28,Recent (2022-2025)
Changan,Deepal S07,2024,Lithium-Ion,53.9,308,Ccs,6.9,90380.3,Pink,Canada,2,0.0,5.0,8196,5,0,Premium ($80K–$110K),5.714,293.44,High,740756938.8000001,Recent (2022-2025)
Geely,Geometry C,2024,Nickel-Manganese-Cobalt,120.1,487,Mobile Charging,11.6,85061.81,Sunset Orange,Israel,3,0.0,4.0,7221,5,1,Premium ($80K–$110K),4.055,174.66,Medium,614231330.01,Recent (2022-2025)
Seat,Avenger,2020,Nickel-Cobalt-Aluminum,144.2,364,Level 1 Charging,8.6,61601.96,Copper,Uk,5,0.0,4.0,5848,4,0,Mid ($50K–$80K),2.524,169.24,Low,360248262.08,Mid (2019-2021)
Rimac,Nevera,2018,Aluminum-Ion,94.6,193,Inductive (Wireless) Charging,6.2,53959.98,Racing Red,Belgium,1,0.0,5.0,11666,3,0,Mid ($50K–$80K),2.04,279.59,Low,629497126.6800001,Early (2015-2018)
Opel,Corsa-e,2016,Aluminum-Ion,30.2,589,Vehicle-To-Load (V2L),7.6,121709.31,Matte White,Japan,2,0.0,5.0,9002,4,1,Luxury (>$110K),19.503,206.64,Top,1095627208.62,Early (2015-2018)
Porsche,Panamera EV,2021,Lithium-Iron Phosphate,117.5,165,Level 2 Charging,6.5,80781.1,Matte White,Japan,3,0.0,4.0,3944,5,0,Premium ($80K–$110K),1.404,489.58,Low,318600658.40000004,Mid (2019-2021)
Lotus,Emeya,2020,Lithium-Titanate,21.1,445,Inductive (Wireless) Charging,4.9,42089.74,Turquoise,Finland,1,0.0,4.0,11242,4,1,Budget (<$50K),21.09,94.58,Top,473172857.08,Mid (2019-2021)
Porsche,Cayenne Electric (upcoming),2021,Lithium-Iron Phosphate,74.5,485,Overhead Pantograph Charging,4.7,78071.11,Candy Apple Red,Norway,4,0.0,5.0,8845,3,1,Mid ($50K–$80K),6.51,160.97,High,690538967.95,Mid (2019-2021)
Lamborghini,Lanzador (upcoming EV),2021,Lithium-Iron Phosphate,39.0,591,Chademo,5.9,31169.07,Tan,Russia,3,0.0,5.0,10345,4,1,Budget (<$50K),15.154,52.74,Top,322444029.15,Mid (2019-2021)
Subaru,Solterra,2023,Calcium-Ion,93.8,303,Ccs,8.4,37204.37,Platinum,Spain,5,0.0,4.0,11828,4,0,Budget (<$50K),3.23,122.79,Medium,440053288.36,Recent (2022-2025)
Lamborghini,Lanzador (upcoming EV),2020,Lithium-Ion,73.5,279,Inductive (Wireless) Charging,7.1,107983.86,Matte White,Norway,2,0.0,4.0,14645,3,0,Premium ($80K–$110K),3.796,387.04,Medium,1581423629.7,Mid (2019-2021)
Nio,ES7,2022,Flow Batteries,144.4,544,Nacs,7.9,141428.0,Tan,Finland,0,0.0,4.0,10383,5,1,Luxury (>$110K),3.767,259.98,Medium,1468446924.0,Recent (2022-2025)
Mazda,Mazda EV (upcoming models),2024,Flow Batteries,71.4,554,Vehicle-To-Home (V2H),9.5,142652.38,Racing Red,Israel,3,0.0,3.0,4097,5,1,Luxury (>$110K),7.759,257.5,Top,584446800.86,Recent (2022-2025)
Polestar,Polestar 4,2016,Lithium-Iron Phosphate,41.7,152,Ccs,1.2,135442.92,Matte Gray,South Korea,3,0.0,3.0,3405,4,0,Luxury (>$110K),3.645,891.07,Medium,461183142.6,Early (2015-2018)
Gmc,Hummer EV Pickup,2016,Flow Batteries,141.1,299,Solar Charging,3.1,118511.19,Candy Apple Red,Italy,3,0.0,4.0,11692,4,0,Luxury (>$110K),2.119,396.36,Low,1385632833.48,Early (2015-2018)
Great Wall Motors,ORA Lightning Cat,2023,Aluminum-Ion,55.4,327,Chademo,11.6,113714.75,Midnight Black,Israel,5,0.0,4.0,17152,5,0,Luxury (>$110K),5.903,347.75,High,1950435392.0,Recent (2022-2025)
Acura,ZDX (with GM Ultium),2020,Nickel-Manganese-Cobalt,90.2,512,Dc Fast Charging (Dcfc),5.6,73894.0,Gold,Sweden,0,0.0,3.0,11268,4,1,Mid ($50K–$80K),5.676,144.32,High,832637592.0,Mid (2019-2021)
Great Wall Motors,ORA Ballet Cat,2015,Lithium-Titanate,139.9,584,Vehicle-To-Load (V2L),3.9,121904.3,Cobalt Blue,Czech Republic,0,0.0,5.0,14323,4,1,Luxury (>$110K),4.174,208.74,High,1746035288.9,Early (2015-2018)
Polestar,Polestar 3,2025,Nickel-Cobalt-Aluminum,127.7,212,Battery Swapping,1.4,105038.76,Matte Black,Finland,5,0.0,5.0,8808,4,0,Premium ($80K–$110K),1.66,495.47,Low,925181398.0799999,Recent (2022-2025)
Lucid Motors,Lucid Air,2017,Nickel-Metal Hydride,57.6,426,Vehicle-To-Home (V2H),7.6,62656.1,Sapphire Blue,Russia,0,0.0,3.0,6092,3,1,Mid ($50K–$80K),7.396,147.08,Top,381700961.2,Early (2015-2018)
Mazda,Mazda EV (upcoming models),2017,Lithium-Titanate,77.0,104,Ultra-Fast Charging (350 Kw+),1.5,31766.98,Electric Blue,Mexico,3,0.0,3.0,10821,3,0,Budget (<$50K),1.351,305.45,Low,343750490.58,Early (2015-2018)
Citroen,ë-C4,2015,Lithium-Sulfur,120.8,136,Vehicle-To-Load (V2L),2.6,137483.88,Gold,India,0,0.0,4.0,14514,3,0,Luxury (>$110K),1.126,1010.91,Low,1995441034.3200002,Early (2015-2018)
Peugeot,e-208,2018,Nickel-Manganese-Cobalt,115.6,148,Inductive (Wireless) Charging,5.9,111773.08,Magenta,Hungary,5,0.0,5.0,4002,4,0,Luxury (>$110K),1.28,755.22,Low,447315866.16,Early (2015-2018)
Great Wall Motors,ORA Ballet Cat,2019,Lithium-Iron Phosphate,66.9,126,Inductive (Wireless) Charging,11.7,58315.9,Brown,Hungary,3,0.0,4.0,7965,3,0,Mid ($50K–$80K),1.883,462.82,Low,464486143.5,Mid (2019-2021)
Chevrolet,Equinox EV,2022,Lithium-Titanate,97.5,290,Dc Fast Charging (Dcfc),3.4,89990.3,Sky Blue,Finland,5,0.0,3.0,17575,3,0,Premium ($80K–$110K),2.974,310.31,Medium,1581579522.5,Recent (2022-2025)
Volkswagen,ID.6,2018,Sodium-Ion,147.6,503,Overhead Pantograph Charging,9.8,82646.27,Metallic Silver,Germany,2,0.0,3.0,15902,5,1,Premium ($80K–$110K),3.408,164.31,Medium,1314240985.54,Early (2015-2018)
Geely,Emgrand EV,2019,Lead-Acid,110.6,197,Nacs,6.8,68841.71,Sunset Orange,Portugal,4,0.0,3.0,17404,3,0,Mid ($50K–$80K),1.781,349.45,Low,1198121120.8400002,Mid (2019-2021)
Geely,Geometry C,2019,Lead-Acid,67.7,100,Plug-In Hydrogen Refueling,8.9,135951.88,Sapphire Blue,Argentina,1,0.0,4.0,17660,4,0,Luxury (>$110K),1.477,1359.52,Low,2400910200.8,Mid (2019-2021)
Lucid Motors,Lucid DreamDrive,2025,Nickel-Manganese-Cobalt,119.5,178,Solar Charging,4.2,106908.47,Orange,France,0,0.0,3.0,1024,3,0,Premium ($80K–$110K),1.49,600.61,Low,109474273.28,Recent (2022-2025)
Kia,EV9,2018,Solid-State,24.1,428,Plug-In Hydrogen Refueling,8.1,93098.56,Ice Silver,Israel,2,0.0,3.0,6839,5,1,Premium ($80K–$110K),17.759,217.52,Top,636701051.84,Early (2015-2018)
Mahindra,XUV400,2022,Magnesium-Ion,103.1,284,Vehicle-To-Grid (V2G),10.0,125309.95,Blue,Finland,0,0.0,3.0,7074,5,0,Luxury (>$110K),2.755,441.23,Medium,886442586.3,Recent (2022-2025)
Kia,Soul EV,2018,Lead-Acid,70.1,198,Ultra-Fast Charging (350 Kw+),7.1,143700.4,Matte Gray,United Arab Emirates,0,0.0,5.0,15031,5,0,Luxury (>$110K),2.825,725.76,Medium,2159960712.4,Early (2015-2018)
Mini,Mini Cooper SE,2016,Nickel-Metal Hydride,123.0,381,Plug-In Hydrogen Refueling,6.3,108903.83,Matte White,Ireland,2,0.0,4.0,12180,4,0,Premium ($80K–$110K),3.098,285.84,Medium,1326448649.4,Early (2015-2018)
Citroen,Ami,2021,Calcium-Ion,114.4,411,Ultra-Fast Charging (350 Kw+),7.0,55671.38,Navy Blue,United Arab Emirates,2,0.0,4.0,6,5,1,Mid ($50K–$80K),3.593,135.45,Medium,334028.27999999997,Mid (2019-2021)
Chevrolet,Volt (PHEV),2024,Lithium-Ion,87.3,555,Solar Charging,0.6,148127.33,Electric Blue,Hungary,3,0.0,4.0,18142,5,1,Luxury (>$110K),6.357,266.9,High,2687326020.8599997,Recent (2022-2025)
Lamborghini,Revuelto (PHEV),2016,Lithium-Ion,79.8,179,Chademo,3.5,136755.04,Forest Green,Austria,2,0.0,3.0,2529,5,0,Luxury (>$110K),2.243,763.99,Low,345853496.16,Early (2015-2018)
Rimac,Nevera,2017,Nickel-Manganese-Cobalt,127.3,453,Ccs,7.3,66047.19,Volcanic Yellow,Singapore,0,0.0,4.0,13648,3,1,Mid ($50K–$80K),3.559,145.8,Medium,901412049.12,Early (2015-2018)
Opel,Corsa-e,2025,Calcium-Ion,98.3,105,Plug-In Hydrogen Refueling,1.1,92926.0,Purple,Saudi Arabia,2,0.0,3.0,12873,4,0,Premium ($80K–$110K),1.068,885.01,Low,1196236398.0,Recent (2022-2025)
Citroen,Ami,2024,Lead-Acid,31.7,321,Solar Charging,9.5,47761.49,Pink,Uk,5,0.0,3.0,13058,5,0,Budget (<$50K),10.126,148.79,Top,623669536.42,Recent (2022-2025)
Zeekr,Zeekr X,2017,Nickel-Manganese-Cobalt,92.7,349,Plug-In Hydrogen Refueling,8.0,53531.92,Sapphire Blue,South Africa,0,0.0,5.0,18874,3,0,Mid ($50K–$80K),3.765,153.39,Medium,1010361458.0799999,Early (2015-2018)
Jaguar,I-PACE,2021,Sodium-Ion,65.3,264,Overhead Pantograph Charging,7.3,32904.82,Magenta,Netherlands,4,0.0,5.0,4778,4,0,Budget (<$50K),4.043,124.64,Medium,157219229.96,Mid (2019-2021)
Chevrolet,Bolt EUV,2018,Flow Batteries,68.6,487,Dc Fast Charging (Dcfc),1.8,36544.56,Sapphire Blue,Sweden,2,0.0,3.0,9998,4,1,Budget (<$50K),7.099,75.04,Top,365372510.88,Early (2015-2018)
Great Wall Motors,ORA Good Cat,2020,Lithium-Iron Phosphate,116.2,208,Inductive (Wireless) Charging,6.8,120042.62,Matte Gray,New Zealand,1,0.0,4.0,19103,5,0,Luxury (>$110K),1.79,577.13,Low,2293174169.86,Mid (2019-2021)
Lotus,Eletre,2019,Nickel-Metal Hydride,27.8,202,Battery Swapping,1.1,108570.94,White,China,2,0.0,4.0,3535,3,0,Premium ($80K–$110K),7.266,537.48,Top,383798272.90000004,Mid (2019-2021)
Mazda,Mazda EV (upcoming models),2018,Nickel-Cobalt-Aluminum,86.1,463,Ccs,10.9,88159.46,Gun Metal,Saudi Arabia,3,0.0,5.0,704,3,1,Premium ($80K–$110K),5.377,190.41,High,62064259.84,Early (2015-2018)
Polestar,Polestar 4,2020,Nickel-Manganese-Cobalt,71.1,180,Level 1 Charging,4.5,72229.57,Emerald Green,Poland,4,0.0,4.0,8443,4,0,Mid ($50K–$80K),2.532,401.28,Low,609834259.5100001,Mid (2019-2021)
Canoo,Lifestyle Vehicle,2023,Lithium-Sulfur,49.3,274,Plug-In Hydrogen Refueling,8.1,40535.4,Beige,South Africa,4,0.0,4.0,7876,5,0,Budget (<$50K),5.558,147.94,High,319256810.40000004,Recent (2022-2025)
Ford,Explorer EV (Europe),2019,Aluminum-Ion,98.7,329,Chademo,2.9,46629.18,Matte White,Denmark,2,0.0,3.0,14092,3,0,Budget (<$50K),3.333,141.73,Medium,657098404.5600001,Mid (2019-2021)
Genesis,GV70 Electric,2020,Solid-State,92.5,585,Ccs,2.6,130742.7,Charcoal,Germany,3,0.0,5.0,8971,3,1,Luxury (>$110K),6.324,223.49,High,1172892761.7,Mid (2019-2021)
Opel,Corsa-e,2016,Nickel-Metal Hydride,44.0,490,Battery Swapping,7.5,103483.44,Gun Metal,Austria,0,0.0,4.0,4393,5,1,Premium ($80K–$110K),11.136,211.19,Top,454602751.92,Early (2015-2018)
Cadillac,Celestiq,2025,Sodium-Ion,43.9,298,Vehicle-To-Load (V2L),5.9,49654.37,Crimson Red,Japan,0,0.0,3.0,6646,3,0,Budget (<$50K),6.788,166.63,Top,330002943.02000004,Recent (2022-2025)
Audi,e-tron GT,2022,Calcium-Ion,100.2,452,Mobile Charging,10.5,136510.43,Brown,Thailand,4,0.0,4.0,12915,5,1,Luxury (>$110K),4.511,302.01,High,1763032203.4499998,Recent (2022-2025)
Peugeot,e-208,2023,Solid-State,78.7,523,Level 2 Charging,10.6,59486.6,Matte White,Thailand,0,0.0,5.0,1615,3,1,Mid ($50K–$80K),6.645,113.74,High,96070859.0,Recent (2022-2025)
Mazda,Mazda EV (upcoming models),2021,Aluminum-Ion,59.6,523,Solar Charging,5.8,80695.46,Sapphire Blue,South Korea,1,0.0,3.0,16405,3,1,Premium ($80K–$110K),8.775,154.29,Top,1323809021.3000002,Mid (2019-2021)
Porsche,Macan EV,2021,Nickel-Cobalt-Aluminum,62.0,112,Nacs,5.7,137594.1,Metallic Silver,Australia,3,0.0,5.0,5373,5,0,Luxury (>$110K),1.806,1228.52,Low,739293099.3000001,Mid (2019-2021)
Renault,Megane E-Tech,2016,Solid-State,111.8,424,Overhead Pantograph Charging,1.5,114873.49,Volcanic Yellow,Turkey,1,0.0,3.0,10983,5,1,Luxury (>$110K),3.792,270.93,Medium,1261655540.67,Early (2015-2018)
Mini,Mini Electric,2017,Calcium-Ion,38.8,493,Level 2 Charging,5.3,67142.2,Navy Blue,Malaysia,1,0.0,3.0,115,5,1,Mid ($50K–$80K),12.706,136.19,Top,7721353.0,Early (2015-2018)
Citroen,ë-Spacetourer,2015,Nickel-Manganese-Cobalt,84.7,355,Level 1 Charging,7.5,89216.02,Electric Blue,Israel,3,0.0,4.0,19664,3,0,Premium ($80K–$110K),4.191,251.31,High,1754343817.28,Early (2015-2018)
Polestar,Polestar 4,2024,Flow Batteries,92.5,522,Inductive (Wireless) Charging,1.1,47790.74,Ruby Red,Brazil,3,0.0,5.0,9779,4,1,Budget (<$50K),5.643,91.55,High,467345646.46,Recent (2022-2025)
Hyundai,Kona Electric,2016,Nickel-Cobalt-Aluminum,149.2,182,Solar Charging,7.5,112981.63,Gun Metal,Singapore,1,0.0,4.0,1174,3,0,Luxury (>$110K),1.22,620.78,Low,132640433.62,Early (2015-2018)
Opel,Mokka-e,2020,Sodium-Ion,136.7,519,Dc Fast Charging (Dcfc),9.2,131197.16,Red,Czech Republic,0,0.0,5.0,13558,5,1,Luxury (>$110K),3.797,252.79,Medium,1778771095.28,Mid (2019-2021)
Rivian,EDV (Electric Delivery Van),2018,Zinc-Air,27.6,392,Dc Fast Charging (Dcfc),6.1,112638.51,Burgundy,Czech Republic,2,0.0,5.0,11595,3,0,Luxury (>$110K),14.203,287.34,Top,1306043523.45,Early (2015-2018)
Gmc,Hummer EV SUV,2023,Lithium-Titanate,102.1,352,Nacs,10.7,57926.6,Copper,Denmark,3,0.0,3.0,6793,5,0,Mid ($50K–$80K),3.448,164.56,Medium,393495393.8,Recent (2022-2025)
Li Auto,MEGA,2015,Sodium-Ion,65.5,512,Inductive (Wireless) Charging,0.6,54142.46,Copper,Spain,2,0.0,3.0,3730,5,1,Mid ($50K–$80K),7.817,105.75,Top,201951375.79999998,Early (2015-2018)
Pininfarina,Battista,2021,Lithium-Titanate,94.0,591,Level 1 Charging,10.1,53281.87,Titanium,Mexico,3,0.0,5.0,4448,4,1,Mid ($50K–$80K),6.287,90.16,High,236997757.76000002,Mid (2019-2021)
Ford,Explorer EV (Europe),2023,Aluminum-Ion,63.6,501,Vehicle-To-Grid (V2G),11.2,36722.67,Matte Black,Poland,5,0.0,3.0,18920,5,1,Budget (<$50K),7.877,73.3,Top,694792916.4,Recent (2022-2025)
